timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608485929590,3441,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-21,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2807,0,1
1608485929590,2807,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-21,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2807,0,1
1608485932397,634,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-21,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,633,0,0
1608485929914,3199,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-13,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2864,0,1
1608485929914,2864,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-13,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2864,0,1
1608485932778,335,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-13,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,334,0,0
1608485929914,3209,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-22,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2912,0,1
1608485929914,2912,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-22,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2912,0,1
1608485932826,297,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-22,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,296,0,0
1608485929982,3159,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-28,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2953,0,0
1608485929982,2953,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-28,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2953,0,0
1608485932935,206,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-28,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,205,0,0
1608485930116,3097,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2772,0,1
1608485930116,2772,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-15,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2772,0,1
1608485932888,325,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-15,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,324,0,0
1608485930339,3023,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2851,0,0
1608485930339,2851,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-5,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2851,0,0
1608485933190,172,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,172,0,0
1608485930263,3111,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-47,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,2930,0,0
1608485930263,2930,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-47,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,2930,0,0
